bioguide_id,chamber,job_type,congress_number,congress_start_date,congress_end_date,region_type,region_code,party_name,job_start_date,job_end_date,party_start_date,party_end_date
B001111,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TX,Democrat,,,,
B001127,Delegate,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,HI,Democrat,1959-01-03,1959-08-21,,
B001165,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Republican,,,,
B001167,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CT,Republican,,,,
B001180,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MD,Republican,,,,
B001208,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,VA,Democrat,,,,
B001210,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,WV,Democrat,1959-01-03,,,
B001212,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Democrat,,,,
B001216,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,WI,Republican,,,,
C000019,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NJ,Republican,,,,
C000113,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NJ,Republican,,,,
C000117,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,MO,Democrat,1959-01-03,,,
C000120,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NV,Democrat,1959-01-03,,,
C000128,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IN,Republican,,,,
C000154,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,KS,Republican,,,,
C000162,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MO,Democrat,,,,
C000189,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CO,Democrat,,,,
C000199,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IA,Democrat,,,,
C000220,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NJ,Republican,,,,
