bioguide_id,chamber,congress_number,region_type,region_code,party,start_date,end_date
M001193,Representative,114,State,NJ,Republican,2015-01-03,2017-01-02
M001194,Representative,114,State,MI,Republican,2015-01-03,2017-01-02
M001195,Representative,114,State,WV,Republican,2015-01-03,2017-01-02
M001196,Representative,114,State,MA,Democrat,2015-01-03,2017-01-02
M001197,Representative,114,State,AZ,Republican,2015-01-03,2017-01-02
N000002,Representative,114,State,NY,Democrat,2015-01-03,2017-01-02
N000015,Representative,114,State,MA,Democrat,2015-01-03,2017-01-02
N000032,Senator,114,State,FL,Democrat,2015-01-03,2017-01-02
N000127,Representative,114,State,MN,Democrat,2015-01-03,2017-01-02
N000147,Delegate,114,State,DC,Democrat,2015-01-03,2017-01-02
N000179,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
N000181,Representative,114,State,CA,Republican,2015-01-03,2017-01-02
N000182,Representative,114,State,TX,Republican,2015-01-03,2017-01-02
N000184,Representative,114,State,SD,Republican,2015-01-03,2017-01-02
N000185,Representative,114,State,FL,Republican,2015-01-03,2017-01-02
N000186,Representative,114,State,MS,Republican,2015-01-03,2015-02-06
N000188,Representative,114,State,NJ,Democrat,2015-01-03,2017-01-02
N000189,Representative,114,State,WA,Republican,2015-01-03,2017-01-02
O000168,Representative,114,State,TX,Republican,2015-01-03,2017-01-02
O000170,Representative,114,State,TX,Democrat,2015-01-03,2017-01-02
P000034,Representative,114,State,NJ,Democrat,2015-01-03,2017-01-02
P000096,Representative,114,State,NJ,Democrat,2015-01-03,2017-01-02
P000197,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
P000258,Representative,114,State,MN,Democrat,2015-01-03,2017-01-02
P000373,Representative,114,State,PA,Republican,2015-01-03,2017-01-02
P000449,Senator,114,State,OH,Republican,2015-01-03,2017-01-02
P000523,Representative,114,State,NC,Democrat,2015-01-03,2017-01-02
P000588,Representative,114,State,NM,Republican,2015-01-03,2017-01-02
P000591,Representative,114,State,GA,Republican,2015-01-03,2017-01-02
P000592,Representative,114,State,TX,Republican,2015-01-03,2017-01-02
P000593,Representative,114,State,CO,Democrat,2015-01-03,2017-01-02
P000594,Representative,114,State,MN,Republican,2015-01-03,2017-01-02
P000595,Senator,114,State,MI,Democrat,2015-01-03,2017-01-02
P000596,Resident Commissioner,114,Territory,PR,New Progressive,2015-01-03,2017-01-02
P000597,Representative,114,State,ME,Democrat,2015-01-03,2017-01-02
P000598,Representative,114,State,CO,Democrat,2015-01-03,2017-01-02
P000599,Representative,114,State,FL,Republican,2015-01-03,2017-01-02
P000601,Representative,114,State,MS,Republican,2015-01-03,2017-01-02
P000602,Representative,114,State,KS,Republican,2015-01-03,2017-01-02
P000603,Senator,114,State,KY,Republican,2015-01-03,2017-01-02
P000604,Representative,114,State,NJ,Democrat,2015-01-03,2017-01-02
P000605,Representative,114,State,PA,Republican,2015-01-03,2017-01-02
P000606,Representative,114,State,NC,Republican,2015-01-03,2017-01-02
P000607,Representative,114,State,WI,Democrat,2015-01-03,2017-01-02
P000608,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
P000609,Representative,114,State,AL,Republican,2015-01-03,2017-01-02
P000610,Delegate,114,Territory,VI,Democrat,2015-01-03,2017-01-02
P000611,Representative,114,State,ME,Republican,2015-01-03,2017-01-02
P000612,Senator,114,State,GA,Republican,2015-01-03,2017-01-02
Q000023,Representative,114,State,IL,Democrat,2015-01-03,2017-01-02
R000053,Representative,114,State,NY,Democrat,2015-01-03,2017-01-02
R000122,Senator,114,State,RI,Democrat,2015-01-03,2017-01-02
R000146,Senator,114,State,NV,Democrat,2015-01-03,2017-01-02
R000307,Senator,114,State,KS,Republican,2015-01-03,2017-01-02
R000395,Representative,114,State,KY,Republican,2015-01-03,2017-01-02
R000409,Representative,114,State,CA,Republican,2015-01-03,2017-01-02
R000435,Representative,114,State,FL,Republican,2015-01-03,2017-01-02
R000486,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
R000487,Representative,114,State,CA,Republican,2015-01-03,2017-01-02
R000515,Representative,114,State,IL,Democrat,2015-01-03,2017-01-02
R000570,Representative,114,State,WI,Republican,2015-01-03,2017-01-02
R000575,Representative,114,State,AL,Republican,2015-01-03,2017-01-02
R000576,Representative,114,State,MD,Democrat,2015-01-03,2017-01-02
R000577,Representative,114,State,OH,Democrat,2015-01-03,2017-01-02
R000578,Representative,114,State,WA,Republican,2015-01-03,2017-01-02
R000580,Representative,114,State,IL,Republican,2015-01-03,2017-01-02
R000582,Representative,114,State,TN,Republican,2015-01-03,2017-01-02
R000583,Representative,114,State,FL,Republican,2015-01-03,2017-01-02
R000584,Senator,114,State,ID,Republican,2015-01-03,2017-01-02
R000585,Representative,114,State,NY,Republican,2015-01-03,2017-01-02
R000586,Representative,114,State,OH,Republican,2015-01-03,2017-01-02
R000587,Representative,114,State,WI,Republican,2015-01-03,2017-01-02
R000588,Representative,114,State,LA,Democrat,2015-01-03,2017-01-02
R000589,Representative,114,State,VA,Republican,2015-01-03,2017-01-02
R000591,Representative,114,State,AL,Republican,2015-01-03,2017-01-02
R000592,Representative,114,State,IN,Republican,2015-01-03,2017-01-02
R000593,Representative,114,State,FL,Republican,2015-01-03,2017-01-02
R000595,Senator,114,State,FL,Republican,2015-01-03,2017-01-02
R000597,Representative,114,State,SC,Republican,2015-01-03,2017-01-02
